"DateTime","Hash Rate"
"2009-10-17 00:00:00",2833485.3688888885
"2009-10-18 00:00:00",3678559.9525925927
"2009-10-19 00:00:00",5567550.198518518
"2009-10-20 00:00:00",4722475.614814814
"2009-10-21 00:00:00",3976821.5703703705
"2009-10-22 00:00:00",4473924.266666667
"2009-10-23 00:00:00",4424213.997037037
"2009-10-24 00:00:00",3082036.717037037
"2009-10-25 00:00:00",3777980.491851852
"2009-10-26 00:00:00",3529429.143703704
"2009-10-27 00:00:00",3181457.256296296
"2009-10-28 00:00:00",3280877.7955555557
"2009-10-29 00:00:00",2286672.4029629626
"2009-10-30 00:00:00",2982616.177777778
"2009-10-31 00:00:00",2286672.4029629626
"2009-11-01 00:00:00",1242756.7407407407
"2009-11-02 00:00:00",1640438.8977777779
"2009-11-03 00:00:00",3082036.717037037
"2009-11-04 00:00:00",3131746.986666667
"2009-11-05 00:00:00",2833485.3688888885
"2009-11-06 00:00:00",3082036.717037037
"2009-11-07 00:00:00",3430008.6044444446
"2009-11-08 00:00:00",3628849.682962963
"2009-11-09 00:00:00",3181457.256296296
"2009-11-10 00:00:00",3877401.0311111114
"2009-11-11 00:00:00",3181457.256296296
"2009-11-12 00:00:00",3280877.7955555557
"2009-11-13 00:00:00",3976821.5703703705
"2009-11-14 00:00:00",3927111.300740741
"2009-11-15 00:00:00",4772185.884444444
"2009-11-16 00:00:00",4821896.154074074
"2009-11-17 00:00:00",4573344.805925925
"2009-11-18 00:00:00",3927111.300740741
"2009-11-19 00:00:00",3479718.8740740744
"2009-11-20 00:00:00",4275083.188148148
"2009-11-21 00:00:00",3628849.682962963
"2009-11-22 00:00:00",5269288.5807407405
"2009-11-23 00:00:00",4772185.884444444
"2009-11-24 00:00:00",4623055.0755555555
"2009-11-25 00:00:00",4473924.266666667
"2009-11-26 00:00:00",4175662.6488888883
"2009-11-27 00:00:00",3678559.9525925927
"2009-11-28 00:00:00",3529429.143703704
"2009-11-29 00:00:00",2982616.177777778
"2009-11-30 00:00:00",3728270.222222222
"2009-12-01 00:00:00",3628849.682962963
"2009-12-02 00:00:00",4672765.345185185
"2009-12-03 00:00:00",4374503.727407407
"2009-12-04 00:00:00",1789569.7066666668
"2009-12-05 00:00:00",3181457.256296296
"2009-12-06 00:00:00",5120157.771851852
"2009-12-07 00:00:00",5567550.198518518
"2009-12-08 00:00:00",5219578.311111111
"2009-12-09 00:00:00",4772185.884444444
"2009-12-10 00:00:00",5169868.041481482
"2009-12-11 00:00:00",5567550.198518518
"2009-12-12 00:00:00",5468129.659259259
"2009-12-13 00:00:00",5666970.737777777
"2009-12-14 00:00:00",5070447.502222222
"2009-12-15 00:00:00",5468129.659259259
"2009-12-16 00:00:00",6760596.66962963
"2009-12-17 00:00:00",8401035.567407407
"2009-12-18 00:00:00",11184810.666666666
"2009-12-19 00:00:00",9842633.386666667
"2009-12-20 00:00:00",8699297.185185185
"2009-12-21 00:00:00",8699297.185185185
"2009-12-22 00:00:00",8053063.68
"2009-12-23 00:00:00",7655381.522962963
"2009-12-24 00:00:00",7655381.522962963
"2009-12-25 00:00:00",7406830.174814815
"2009-12-26 00:00:00",8649586.915555555
"2009-12-27 00:00:00",8301615.028148147
"2009-12-28 00:00:00",6810306.939259259
"2009-12-29 00:00:00",8500456.106666667
"2009-12-30 00:00:00",8291822.105031111
"2009-12-31 00:00:00",8115400.358115556
"2010-01-01 00:00:00",7762556.8642844455
"2010-01-02 00:00:00",7409713.370453334
"2010-01-03 00:00:00",10938148.308764445
"2010-01-04 00:00:00",10644112.063905185
"2010-01-05 00:00:00",11643835.296426667
"2010-01-06 00:00:00",9585581.582411854
"2010-01-07 00:00:00",9056316.341665186
"2010-01-08 00:00:00",8997509.092693333
"2010-01-09 00:00:00",8879894.59474963
"2010-01-10 00:00:00",11173377.304651853
"2010-01-11 00:00:00",9350352.586524444
"2010-01-12 00:00:00",10314632.396799998
"2010-01-13 00:00:00",10638991.906133331
"2010-01-14 00:00:00",9276681.966933334
"2010-01-15 00:00:00",9146938.163199998
"2010-01-16 00:00:00",8108987.733333332
"2010-01-17 00:00:00",8498219.144533332
"2010-01-18 00:00:00",8108987.733333332
"2010-01-19 00:00:00",8044115.831466666
"2010-01-20 00:00:00",10249760.494933333
"2010-01-21 00:00:00",11352582.826666666
"2010-01-22 00:00:00",8627962.948266666
"2010-01-23 00:00:00",10379504.298666665
"2010-01-24 00:00:00",9990272.887466667
"2010-01-25 00:00:00",13687971.293866666
"2010-01-26 00:00:00",13028067.464533333
"2010-01-27 00:00:00",10956938.790684445
"2010-01-28 00:00:00",11825476.621653333
"2010-01-29 00:00:00",13161688.669297779
"2010-01-30 00:00:00",14030226.500266667
"2010-01-31 00:00:00",11023749.393066667
"2010-02-01 00:00:00",12293150.838328889
"2010-02-02 00:00:00",9687537.345422223
"2010-02-03 00:00:00",18038862.643200003
"2010-02-04 00:00:00",15299627.945528891
"2010-02-05 00:00:00",20164324.641754072
"2010-02-06 00:00:00",17361212.24760889
"2010-02-07 00:00:00",19621786.759016298
"2010-02-08 00:00:00",18084596.09125926
"2010-02-09 00:00:00",18717556.954453334
"2010-02-10 00:00:00",15191060.716657776
"2010-02-11 00:00:00",15281483.697114073
"2010-02-12 00:00:00",16547405.423502222
"2010-02-13 00:00:00",20978131.465860743
"2010-02-14 00:00:00",18807979.93490963
"2010-02-15 00:00:00",22117490.84577185
"2010-02-16 00:00:00",24505174.516622223
"2010-02-17 00:00:00",30034547.228065185
"2010-02-18 00:00:00",26138852.81773037
"2010-02-19 00:00:00",24128171.831751112
"2010-02-20 00:00:00",26138852.81773037
"2010-02-21 00:00:00",28023866.242085926
"2010-02-22 00:00:00",32673566.022162963
"2010-02-23 00:00:00",31416890.405925926
"2010-02-24 00:00:00",32140224.53930667
"2010-02-25 00:00:00",28944997.538322967
"2010-02-26 00:00:00",32328179.0687763
"2010-02-27 00:00:00",32328179.0687763
"2010-02-28 00:00:00",29320906.597262226
"2010-03-01 00:00:00",36651133.24657778
"2010-03-02 00:00:00",35335451.54029037
"2010-03-03 00:00:00",28569088.479383703
"2010-03-04 00:00:00",34771587.95188148
"2010-03-05 00:00:00",32140224.53930667
"2010-03-06 00:00:00",33267951.716124445
"2010-03-07 00:00:00",33643860.7750637
"2010-03-08 00:00:00",28154653.961481478
"2010-03-09 00:00:00",32884635.827010367
"2010-03-10 00:00:00",36488431.53407999
"2010-03-11 00:00:00",29956551.815016292
"2010-03-12 00:00:00",27253705.03471407
"2010-03-13 00:00:00",34461296.44885333
"2010-03-14 00:00:00",28154653.961481478
"2010-03-15 00:00:00",30407026.278399996
"2010-03-16 00:00:00",28379891.193173334
"2010-03-17 00:00:00",30632263.510091852
"2010-03-18 00:00:00",31533212.436859258
"2010-03-19 00:00:00",34461296.44885333
